+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  3 |     READY |   RUNNING |
|                20 |  3 |   RUNNING |   WAITING |
|                20 |  2 |     READY |   RUNNING |
|                30 |  3 |   WAITING |     READY |
|                40 |  2 |   RUNNING |   WAITING |
|                40 |  3 |     READY |   RUNNING |
|                50 |  2 |   WAITING |     READY |
|                60 |  3 |   RUNNING |   WAITING |
|                60 |  2 |     READY |   RUNNING |
|                70 |  3 |   WAITING |     READY |
|                80 |  2 |   RUNNING |   WAITING |
|                80 |  3 |     READY |   RUNNING |
|                90 |  2 |   WAITING |     READY |
|               100 |  3 |   RUNNING |   WAITING |
|               100 |  2 |     READY |   RUNNING |
|               110 |  3 |   WAITING |     READY |
|               120 |  2 |   RUNNING |   WAITING |
|               120 |  3 |     READY |   RUNNING |
|               130 |  2 |   WAITING |     READY |
|               140 |  3 |   RUNNING |   WAITING |
|               140 |  2 |     READY |   RUNNING |
|               150 |  3 |   WAITING |     READY |
|               160 |  2 |   RUNNING |   WAITING |
|               160 |  3 |     READY |   RUNNING |
|               170 |  2 |   WAITING |     READY |
|               180 |  3 |   RUNNING |   WAITING |
|               180 |  2 |     READY |   RUNNING |
|               190 |  3 |   WAITING |     READY |
|               200 |  2 |   RUNNING |   WAITING |
|               200 |  3 |     READY |   RUNNING |
|               210 |  2 |   WAITING |     READY |
|               220 |  3 |   RUNNING |   WAITING |
|               220 |  2 |     READY |   RUNNING |
|               230 |  3 |   WAITING |     READY |
|               240 |  2 |   RUNNING |   WAITING |
|               240 |  3 |     READY |   RUNNING |
|               250 |  2 |   WAITING |     READY |
|               260 |  3 |   RUNNING |   WAITING |
|               260 |  2 |     READY |   RUNNING |
|               270 |  3 |   WAITING |     READY |
|               280 |  2 |   RUNNING |   WAITING |
|               280 |  3 |     READY |   RUNNING |
|               290 |  2 |   WAITING |     READY |
|               300 |  3 |   RUNNING |   WAITING |
|               300 |  2 |     READY |   RUNNING |
|               310 |  3 |   WAITING |     READY |
|               320 |  2 |   RUNNING |   WAITING |
|               320 |  3 |     READY |   RUNNING |
|               330 |  2 |   WAITING |     READY |
|               340 |  3 |   RUNNING |   WAITING |
|               340 |  2 |     READY |   RUNNING |
|               350 |  3 |   WAITING |     READY |
|               360 |  2 |   RUNNING |   WAITING |
|               360 |  3 |     READY |   RUNNING |
|               370 |  2 |   WAITING |     READY |
|               380 |  3 |   RUNNING |TERMINATED |
|               380 |  2 |     READY |   RUNNING |
|               400 |  2 |   RUNNING |TERMINATED |
|               400 |  1 |     READY |   RUNNING |
|               420 |  1 |   RUNNING |   WAITING |
|               430 |  1 |   WAITING |     READY |
|               430 |  1 |     READY |   RUNNING |
|               450 |  1 |   RUNNING |   WAITING |
|               460 |  1 |   WAITING |     READY |
|               460 |  1 |     READY |   RUNNING |
|               480 |  1 |   RUNNING |   WAITING |
|               490 |  1 |   WAITING |     READY |
|               490 |  1 |     READY |   RUNNING |
|               510 |  1 |   RUNNING |   WAITING |
|               520 |  1 |   WAITING |     READY |
|               520 |  1 |     READY |   RUNNING |
|               540 |  1 |   RUNNING |   WAITING |
|               550 |  1 |   WAITING |     READY |
|               550 |  1 |     READY |   RUNNING |
|               570 |  1 |   RUNNING |   WAITING |
|               580 |  1 |   WAITING |     READY |
|               580 |  1 |     READY |   RUNNING |
|               600 |  1 |   RUNNING |   WAITING |
|               610 |  1 |   WAITING |     READY |
|               610 |  1 |     READY |   RUNNING |
|               630 |  1 |   RUNNING |   WAITING |
|               640 |  1 |   WAITING |     READY |
|               640 |  1 |     READY |   RUNNING |
|               660 |  1 |   RUNNING |   WAITING |
|               670 |  1 |   WAITING |     READY |
|               670 |  1 |     READY |   RUNNING |
|               690 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
